time_s,is_running
0.409180,1
0.999024,0
1.302735,1
1.998047,0
2.605469,1
2.997071,0
3.300781,1
3.996094,0
4.603516,1
4.995118,0
5.298828,1
5.994141,0
6.601563,1
6.993165,0
7.296875,1
7.992188,0
8.599610,1
8.991211,0
9.294922,1
9.990235,0
10.597657,1
10.989258,0
11.292969,1
11.988282,0
12.595703,1
12.987305,0
13.291016,1
13.986329,0
14.593750,1
14.985352,0
15.289063,1
15.984376,0
16.591797,1
16.983399,0
17.287110,1
17.982422,0
